サッポロ	札幌	北海道札幌市
ニヨドガワ	仁淀川	高知県仁淀川町
ナカトサ	中土佐	高知県中土佐町
サカワ	佐川	高知県佐川町
オチ	越知	高知県越知町
ユスハラ	梼原	高知県梼原町
ヒダカ	日高	高知県日高村
ツノ	津野	高知県津野町
シマント	四万十	高知県四万十町
オオツキ	大月	高知県大月町
ミハラ	三原	高知県三原村
クロシオ	黒潮	高知県黒潮町
キタキュウシュウ	北九州	福岡県北九州市
フクオカ	福岡	福岡県福岡市
オオムタ	大牟田	福岡県大牟田市
クルメ	久留米	福岡県久留米市
ノオガタ	直方	福岡県直方市
イイヅカ	飯塚	福岡県飯塚市
タガワ	田川	福岡県田川市
ヤナガワ	柳川	福岡県柳川市
ヤメ	八女	福岡県八女市
チクゴ	筑後	福岡県筑後市
オオカワ	大川	福岡県大川市
ユクハシ	行橋	福岡県行橋市
ブゼン	豊前	福岡県豊前市
ナカマ	中間	福岡県中間市
オゴオリ	小郡	福岡県小郡市
チクシノ	筑紫野	福岡県筑紫野市
カスガ	春日	福岡県春日市
オオノジョウ	大野城	福岡県大野城市
ムナカタ	宗像	福岡県宗像市
ダザイフ	太宰府	福岡県太宰府市
コガ	古賀	福岡県古賀市
フクツ	福津	福岡県福津市
ウキハ	うきは	福岡県うきは市
ミヤワカ	宮若	福岡県宮若市
カマ	嘉麻	福岡県嘉麻市
アサクラ	朝倉	福岡県朝倉市
ミヤマ	みやま	福岡県みやま市
イトシマ	糸島	福岡県糸島市
ナカガワ	那珂川	福岡県那珂川市
ウミ	宇美	福岡県宇美町
ササグリ	篠栗	福岡県篠栗町
シメ	志免	福岡県志免町
スエ	須恵	福岡県須恵町
シングウ	新宮	福岡県新宮町
ヒサヤマ	久山	福岡県久山町
カスヤ	粕屋	福岡県粕屋町
アシヤ	芦屋	福岡県芦屋町
ミズマキ	水巻	福岡県水巻町
オカガキ	岡垣	福岡県岡垣町
オンガ	遠賀	福岡県遠賀町
コタケ	小竹	福岡県小竹町
クラテ	鞍手	福岡県鞍手町
ケイセン	桂川	福岡県桂川町
チクゼン	筑前	福岡県筑前町
トウホウ	東峰	福岡県東峰村
タチアライ	大刀洗	福岡県大刀洗町
オオキ	大木	福岡県大木町
ヒロカワ	広川	福岡県広川町
カワラ	香春	福岡県香春町
ソエダ	添田	福岡県添田町
イトダ	糸田	福岡県糸田町
カワサキ	川崎	福岡県川崎町
オオトウ	大任	福岡県大任町
アカ	赤	福岡県赤村
フクチ	福智	福岡県福智町
カンダ	苅田	福岡県苅田町
ミヤコ	みやこ	福岡県みやこ町
ヨシトミ	吉富	福岡県吉富町
コウゲ	上毛	福岡県上毛町
チクジョウ	築上	福岡県築上町
サガ	佐賀	佐賀県佐賀市
カラツ	唐津	佐賀県唐津市
トス	鳥栖	佐賀県鳥栖市
タク	多久	佐賀県多久市
イマリ	伊万里	佐賀県伊万里市
タケオ	武雄	佐賀県武雄市
カシマ	鹿島	佐賀県鹿島市
オギ	小城	佐賀県小城市
ウレシノ	嬉野	佐賀県嬉野市
カンザキ	神埼	佐賀県神埼市
ヨシノガリ	吉野ヶ里	佐賀県吉野ヶ里町
キヤマ	基山	佐賀県基山町
カミミネ	上峰	佐賀県上峰町
ミヤキ	みやき	佐賀県みやき町
ゲンカイ	玄海	佐賀県玄海町
アリタ	有田	佐賀県有田町
オオマチ	大町	佐賀県大町町
コウホク	江北	佐賀県江北町
シロイシ	白石	佐賀県白石町
タラ	太良	佐賀県太良町
ナガサキ	長崎	長崎県長崎市
サセボ	佐世保	長崎県佐世保市
シマバラ	島原	長崎県島原市
イサハヤ	諫早	長崎県諫早市
オオムラ	大村	長崎県大村市
ヒラド	平戸	長崎県平戸市
マツウラ	松浦	長崎県松浦市
ツシマ	対馬	長崎県対馬市
イキ	壱岐	長崎県壱岐市
ゴトウ	五島	長崎県五島市
サイカイ	西海	長崎県西海市
ウンゼン	雲仙	長崎県雲仙市
ミナミシマバラ	南島原	長崎県南島原市
ナガヨ	長与	長崎県長与町
トギツ	時津	長崎県時津町
ヒガシソノギ	東彼杵	長崎県東彼杵町
カワタナ	川棚	長崎県川棚町
ハサミ	波佐見	長崎県波佐見町
オヂカ	小値賀	長崎県小値賀町
サザ	佐々	長崎県佐々町
シンカミゴトウ	新上五島	長崎県新上五島町
クマモト	熊本	熊本県熊本市
ヤツシロ	八代	熊本県八代市
ヒトヨシ	人吉	熊本県人吉市
アラオ	荒尾	熊本県荒尾市
ミナマタ	水俣	熊本県水俣市
タマナ	玉名	熊本県玉名市
ヤマガ	山鹿	熊本県山鹿市
キクチ	菊池	熊本県菊池市
ウト	宇土	熊本県宇土市
カミアマクサ	上天草	熊本県上天草市
ウキ	宇城	熊本県宇城市
アソ	阿蘇	熊本県阿蘇市
アマクサ	天草	熊本県天草市
コウシ	合志	熊本県合志市
ミサト	美里	熊本県美里町
ギョクトウ	玉東	熊本県玉東町
ナンカン	南関	熊本県南関町
ナガス	長洲	熊本県長洲町
ナゴミ	和水	熊本県和水町
オオヅ	大津	熊本県大津町
キクヨウ	菊陽	熊本県菊陽町
ミナミオグニ	南小国	熊本県南小国町
オグニ	小国	熊本県小国町
ウブヤマ	産山	熊本県産山村
タカモリ	高森	熊本県高森町
ニシハラ	西原	熊本県西原村
ミナミアソ	南阿蘇	熊本県南阿蘇村
ミフネ	御船	熊本県御船町
カシマ	嘉島	熊本県嘉島町
マシキ	益城	熊本県益城町
コウサ	甲佐	熊本県甲佐町
ヤマト	山都	熊本県山都町
ヒカワ	氷川	熊本県氷川町
アシキタ	芦北	熊本県芦北町
ツナギ	津奈木	熊本県津奈木町
ニシキ	錦	熊本県錦町
タラギ	多良木	熊本県多良木町
ユノマエ	湯前	熊本県湯前町
ミズカミ	水上	熊本県水上村
サガラ	相良	熊本県相良村
イツキ	五木	熊本県五木村
ヤマエ	山江	熊本県山江村
クマ	球磨	熊本県球磨村
アサギリ	あさぎり	熊本県あさぎり町
レイホク	苓北	熊本県苓北町
オオイタ	大分	大分県大分市
ベップ	別府	大分県別府市
ナカツ	中津	大分県中津市
ヒタ	日田	大分県日田市
サイキ	佐伯	大分県佐伯市
ウスキ	臼杵	大分県臼杵市
ツクミ	津久見	大分県津久見市
タケタ	竹田	大分県竹田市
ブンゴタカダ	豊後高田	大分県豊後高田市
キツキ	杵築	大分県杵築市
ウサ	宇佐	大分県宇佐市
ブンゴオオノ	豊後大野	大分県豊後大野市
ユフ	由布	大分県由布市
クニサキ	国東	大分県国東市
ヒメシマ	姫島	大分県姫島村
ヒジ	日出	大分県日出町
ココノエ	九重	大分県九重町
クス	玖珠	大分県玖珠町
ミヤザキ	宮崎	宮崎県宮崎市
ミヤコノジョウ	都城	宮崎県都城市
ノベオカ	延岡	宮崎県延岡市
ニチナン	日南	宮崎県日南市
コバヤシ	小林	宮崎県小林市
ヒュウガ	日向	宮崎県日向市
クシマ	串間	宮崎県串間市
サイト	西都	宮崎県西都市
エビノ	えびの	宮崎県えびの市
ミマタ	三股	宮崎県三股町
タカハル	高原	宮崎県高原町
クニトミ	国富	宮崎県国富町
アヤ	綾	宮崎県綾町
タカナベ	高鍋	宮崎県高鍋町
シントミ	新富	宮崎県新富町
ニシメラ	西米良	宮崎県西米良村
キジョウ	木城	宮崎県木城町
カワミナミ	川南	宮崎県川南町
ツノ	都農	宮崎県都農町
カドガワ	門川	宮崎県門川町
モロツカ	諸塚	宮崎県諸塚村
シイバ	椎葉	宮崎県椎葉村
ミサト	美郷	宮崎県美郷町
タカチホ	高千穂	宮崎県高千穂町
ヒノカゲ	日之影	宮崎県日之影町
ゴカセ	五ヶ瀬	宮崎県五ヶ瀬町
カゴシマ	鹿児島	鹿児島県鹿児島市
カノヤ	鹿屋	鹿児島県鹿屋市
マクラザキ	枕崎	鹿児島県枕崎市
アクネ	阿久根	鹿児島県阿久根市
イズミ	出水	鹿児島県出水市
イブスキ	指宿	鹿児島県指宿市
ニシノオモテ	西之表	鹿児島県西之表市
タルミズ	垂水	鹿児島県垂水市
サツマセンダイ	薩摩川内	鹿児島県薩摩川内市
ヒオキ	日置	鹿児島県日置市
ソオ	曽於	鹿児島県曽於市
キリシマ	霧島	鹿児島県霧島市
イチキクシキノ	いちき串木野	鹿児島県いちき串木野市
ミナミサツマ	南さつま	鹿児島県南さつま市
シブシ	志布志	鹿児島県志布志市
アマミ	奄美	鹿児島県奄美市
ミナミキュウシュウ	南九州	鹿児島県南九州市
イサ	伊佐	鹿児島県伊佐市
アイラ	姶良	鹿児島県姶良市
ミシマ	三島	鹿児島県三島村
トシマ	十島	鹿児島県十島村
サツマ	さつま	鹿児島県さつま町
ナガシマ	長島	鹿児島県長島町
ユウスイ	湧水	鹿児島県湧水町
オオサキ	大崎	鹿児島県大崎町
ヒガシクシラ	東串良	鹿児島県東串良町
キンコウ	錦江	鹿児島県錦江町
ミナミオオスミ	南大隅	鹿児島県南大隅町
キモツキ	肝付	鹿児島県肝付町
ナカタネ	中種子	鹿児島県中種子町
ミナミタネ	南種子	鹿児島県南種子町
ヤクシマ	屋久島	鹿児島県屋久島町
ヤマト	大和	鹿児島県大和村
ウケン	宇検	鹿児島県宇検村
セトウチ	瀬戸内	鹿児島県瀬戸内町
タツゴウ	龍郷	鹿児島県龍郷町
キカイ	喜界	鹿児島県喜界町
トクノシマ	徳之島	鹿児島県徳之島町
アマギ	天城	鹿児島県天城町
イセン	伊仙	鹿児島県伊仙町
ワドマリ	和泊	鹿児島県和泊町
チナ	知名	鹿児島県知名町
ヨロン	与論	鹿児島県与論町
ナハ	那覇	沖縄県那覇市
ギノワン	宜野湾	沖縄県宜野湾市
イシガキ	石垣	沖縄県石垣市
ウラソエ	浦添	沖縄県浦添市
ナゴ	名護	沖縄県名護市
イトマン	糸満	沖縄県糸満市
オキナワ	沖縄	沖縄県沖縄市
トミグスク	豊見城	沖縄県豊見城市
ウルマ	うるま	沖縄県うるま市
ミヤコジマ	宮古島	沖縄県宮古島市
ナンジョウ	南城	沖縄県南城市
クニガミ	国頭	沖縄県国頭村
オオギミ	大宜味	沖縄県大宜味村
ヒガシ	東	沖縄県東村
ナキジン	今帰仁	沖縄県今帰仁村
モトブ	本部	沖縄県本部町
オンナ	恩納	沖縄県恩納村
ギノザ	宜野座	沖縄県宜野座村
キン	金武	沖縄県金武町
イエ	伊江	沖縄県伊江村
ヨミタン	読谷	沖縄県読谷村
カデナ	嘉手納	沖縄県嘉手納町
チヤタン	北谷	沖縄県北谷町
キタナカグスク	北中城	沖縄県北中城村
ナカグスク	中城	沖縄県中城村
ニシハラ	西原	沖縄県西原町
ヨナバル	与那原	沖縄県与那原町
ハエバル	南風原	沖縄県南風原町
トカシキ	渡嘉敷	沖縄県渡嘉敷村
ザマミ	座間味	沖縄県座間味村
アグニ	粟国	沖縄県粟国村
トナキ	渡名喜	沖縄県渡名喜村
ミナミダイトウ	南大東	沖縄県南大東村
キタダイトウ	北大東	沖縄県北大東村
イヘヤ	伊平屋	沖縄県伊平屋村
イゼナ	伊是名	沖縄県伊是名村
クメジマ	久米島	沖縄県久米島町
ヤエセ	八重瀬	沖縄県八重瀬町
タラマ	多良間	沖縄県多良間村
タケトミ	竹富	沖縄県竹富町
ヨナグニ	与那国	沖縄県与那国町
チュウオウ	中央	北海道札幌市中央区
キタ	北	北海道札幌市北区
ヒガシ	東	北海道札幌市東区
シロイシ	白石	北海道札幌市白石区
トヨヒラ	豊平	北海道札幌市豊平区
ミナミ	南	北海道札幌市南区
ニシ	西	北海道札幌市西区
アツベツ	厚別	北海道札幌市厚別区
テイネ	手稲	北海道札幌市手稲区
キヨタ	清田	北海道札幌市清田区
アオバ	青葉	宮城県仙台市青葉区
ミヤギノ	宮城野	宮城県仙台市宮城野区
ワカバヤシ	若林	宮城県仙台市若林区
タイハク	太白	宮城県仙台市太白区
イズミ	泉	宮城県仙台市泉区
ニシ	西	埼玉県さいたま市西区
キタ	北	埼玉県さいたま市北区
オオミヤ	大宮	埼玉県さいたま市大宮区
ミヌマ	見沼	埼玉県さいたま市見沼区
チュウオウ	中央	埼玉県さいたま市中央区
サクラ	桜	埼玉県さいたま市桜区
ウラワ	浦和	埼玉県さいたま市浦和区
ミナミ	南	埼玉県さいたま市南区
ミドリ	緑	埼玉県さいたま市緑区
イワツキ	岩槻	埼玉県さいたま市岩槻区
チュウオウ	中央	千葉県千葉市中央区
ハナミガワ	花見川	千葉県千葉市花見川区
イナゲ	稲毛	千葉県千葉市稲毛区
ワカバ	若葉	千葉県千葉市若葉区
ミドリ	緑	千葉県千葉市緑区
ミハマ	美浜	千葉県千葉市美浜区
ツルミ	鶴見	神奈川県横浜市鶴見区
カナガワ	神奈川	神奈川県横浜市神奈川区
ニシ	西	神奈川県横浜市西区
ナカ	中	神奈川県横浜市中区
ミナミ	南	神奈川県横浜市南区
ホドガヤ	保土ケ谷	神奈川県横浜市保土ケ谷区
イソゴ	磯子	神奈川県横浜市磯子区
カナザワ	金沢	神奈川県横浜市金沢区
コウホク	港北	神奈川県横浜市港北区
トツカ	戸塚	神奈川県横浜市戸塚区
コウナン	港南	神奈川県横浜市港南区
アサヒ	旭	神奈川県横浜市旭区
ミドリ	緑	神奈川県横浜市緑区
セヤ	瀬谷	神奈川県横浜市瀬谷区
サカエ	栄	神奈川県横浜市栄区
イズミ	泉	神奈川県横浜市泉区
アオバ	青葉	神奈川県横浜市青葉区
ツヅキ	都筑	神奈川県横浜市都筑区
カワサキ	川崎	神奈川県川崎市川崎区
サイワイ	幸	神奈川県川崎市幸区
ナカハラ	中原	神奈川県川崎市中原区
タカツ	高津	神奈川県川崎市高津区
タマ	多摩	神奈川県川崎市多摩区
ミヤマエ	宮前	神奈川県川崎市宮前区
アサオ	麻生	神奈川県川崎市麻生区
ミドリ	緑	神奈川県相模原市緑区
チュウオウ	中央	神奈川県相模原市中央区
ミナミ	南	神奈川県相模原市南区
キタ	北	新潟県新潟市北区
ヒガシ	東	新潟県新潟市東区
チュウオウ	中央	新潟県新潟市中央区
コウナン	江南	新潟県新潟市江南区
アキハ	秋葉	新潟県新潟市秋葉区
ミナミ	南	新潟県新潟市南区
ニシ	西	新潟県新潟市西区
ニシカン	西蒲	新潟県新潟市西蒲区
アオイ	葵	静岡県静岡市葵区
スルガ	駿河	静岡県静岡市駿河区
シミズ	清水	静岡県静岡市清水区
ナカ	中	静岡県浜松市中区
ヒガシ	東	静岡県浜松市東区
ニシ	西	静岡県浜松市西区
ミナミ	南	静岡県浜松市南区
キタ	北	静岡県浜松市北区
ハマキタ	浜北	静岡県浜松市浜北区
テンリュウ	天竜	静岡県浜松市天竜区
チクサ	千種	愛知県名古屋市千種区
ヒガシ	東	愛知県名古屋市東区
キタ	北	愛知県名古屋市北区
ニシ	西	愛知県名古屋市西区
ナカムラ	中村	愛知県名古屋市中村区
ナカ	中	愛知県名古屋市中区
ショウワ	昭和	愛知県名古屋市昭和区
ミズホ	瑞穂	愛知県名古屋市瑞穂区
アツタ	熱田	愛知県名古屋市熱田区
ナカガワ	中川	愛知県名古屋市中川区
ミナト	港	愛知県名古屋市港区
ミナミ	南	愛知県名古屋市南区
モリヤマ	守山	愛知県名古屋市守山区
ミドリ	緑	愛知県名古屋市緑区
メイトウ	名東	愛知県名古屋市名東区
テンパク	天白	愛知県名古屋市天白区
キタ	北	京都府京都市北区
カミギョウ	上京	京都府京都市上京区
サキョウ	左京	京都府京都市左京区
ナカギョウ	中京	京都府京都市中京区
ヒガシヤマ	東山	京都府京都市東山区
シモギョウ	下京	京都府京都市下京区
ミナミ	南	京都府京都市南区
ウキョウ	右京	京都府京都市右京区
フシミ	伏見	京都府京都市伏見区
ヤマシナ	山科	京都府京都市山科区
ニシキョウ	西京	京都府京都市西京区
ミヤコジマ	都島	大阪府大阪市都島区
フクシマ	福島	大阪府大阪市福島区
コノハナ	此花	大阪府大阪市此花区
ニシ	西	大阪府大阪市西区
ミナト	港	大阪府大阪市港区
タイショウ	大正	大阪府大阪市大正区
テンノウジ	天王寺	大阪府大阪市天王寺区
ナニワ	浪速	大阪府大阪市浪速区
ニシヨドガワ	西淀川	大阪府大阪市西淀川区
ヒガシヨドガワ	東淀川	大阪府大阪市東淀川区
ヒガシナリ	東成	大阪府大阪市東成区
イクノ	生野	大阪府大阪市生野区
アサヒ	旭	大阪府大阪市旭区
ジョウトウ	城東	大阪府大阪市城東区
アベノ	阿倍野	大阪府大阪市阿倍野区
スミヨシ	住吉	大阪府大阪市住吉区
ヒガシスミヨシ	東住吉	大阪府大阪市東住吉区
ニシナリ	西成	大阪府大阪市西成区
ヨドガワ	淀川	大阪府大阪市淀川区
ツルミ	鶴見	大阪府大阪市鶴見区
スミノエ	住之江	大阪府大阪市住之江区
ヒラノ	平野	大阪府大阪市平野区
キタ	北	大阪府大阪市北区
チュウオウ	中央	大阪府大阪市中央区
サカイ	堺	大阪府堺市堺区
ナカ	中	大阪府堺市中区
ヒガシ	東	大阪府堺市東区
ニシ	西	大阪府堺市西区
ミナミ	南	大阪府堺市南区
キタ	北	大阪府堺市北区
ミハラ	美原	大阪府堺市美原区
ヒガシナダ	東灘	兵庫県神戸市東灘区
ナダ	灘	兵庫県神戸市灘区
ヒョウゴ	兵庫	兵庫県神戸市兵庫区
ナガタ	長田	兵庫県神戸市長田区
スマ	須磨	兵庫県神戸市須磨区
タルミ	垂水	兵庫県神戸市垂水区
キタ	北	兵庫県神戸市北区
チュウオウ	中央	兵庫県神戸市中央区
ニシ	西	兵庫県神戸市西区
キタ	北	岡山県岡山市北区
ナカ	中	岡山県岡山市中区
ヒガシ	東	岡山県岡山市東区
ミナミ	南	岡山県岡山市南区
ナカ	中	広島県広島市中区
ヒガシ	東	広島県広島市東区
ミナミ	南	広島県広島市南区
ニシ	西	広島県広島市西区
アサミナミ	安佐南	広島県広島市安佐南区
アサキタ	安佐北	広島県広島市安佐北区
アキ	安芸	広島県広島市安芸区
サエキ	佐伯	広島県広島市佐伯区
モジ	門司	福岡県北九州市門司区
ワカマツ	若松	福岡県北九州市若松区
トバタ	戸畑	福岡県北九州市戸畑区
コクラキタ	小倉北	福岡県北九州市小倉北区
コクラミナミ	小倉南	福岡県北九州市小倉南区
ヤハタヒガシ	八幡東	福岡県北九州市八幡東区
ヤハタニシ	八幡西	福岡県北九州市八幡西区
ヒガシ	東	福岡県福岡市東区
ハカタ	博多	福岡県福岡市博多区
チュウオウ	中央	福岡県福岡市中央区
ミナミ	南	福岡県福岡市南区
ニシ	西	福岡県福岡市西区
ジョウナン	城南	福岡県福岡市城南区
サワラ	早良	福岡県福岡市早良区
チュウオウ	中央	熊本県熊本市中央区
ヒガシ	東	熊本県熊本市東区
ニシ	西	熊本県熊本市西区
ミナミ	南	熊本県熊本市南区
キタ	北	熊本県熊本市北区
